Embryo,CFRE,dpf,chromatophore,Ecomorph,Species,,,,Iridophore appearance,avergage,Max,Min,Range
1,,10,melanophore,Benthic,Astatotilapia calliptera ,,,,18,20.16666667,22,18,4
2,,10,melanophore,Benthic,Astatotilapia calliptera ,,,,18,,,,
3,,10,melanophore,Benthic,Astatotilapia calliptera ,,,,19,,,,
4,,10,melanophore,Benthic,Astatotilapia calliptera ,,,,19,,,,
5,,10,melanophore,Benthic,Astatotilapia calliptera ,,,,20,,,,
6,,10,melanophore,Benthic,Astatotilapia calliptera ,,,,21,,,,
7,,10,melanophore,Benthic,Astatotilapia calliptera ,,,,21,,,,
8,,11,melanophore,Benthic,Astatotilapia calliptera ,,,,20,,,,
1,,11,xanthophore,Benthic,Astatotilapia calliptera ,,,,22,,,,
3,,11,xanthophore,Benthic,Astatotilapia calliptera ,,,,21,,,,
4,,11,xanthophore,Benthic,Astatotilapia calliptera ,,,,21,,,,
5,,11,xanthophore,Benthic,Astatotilapia calliptera ,,,,22,,,,
7,,11,xanthophore,Benthic,Astatotilapia calliptera ,,,,,,,,
8,,11,xanthophore,Benthic,Astatotilapia calliptera ,,,,,,,,
6,,12,xanthophore,Benthic,Astatotilapia calliptera ,,,,,,,,
2,,18,iridophore,Benthic,Astatotilapia calliptera ,,,,,,,,
5,,18,iridophore,Benthic,Astatotilapia calliptera ,,,,,,,,
3,,19,iridophore,Benthic,Astatotilapia calliptera ,,,,,,,,
4,,19,iridophore,Benthic,Astatotilapia calliptera ,,,,,,,,
1,,20,iridophore,Benthic,Astatotilapia calliptera ,,,,,,,,
6,,21,iridophore,Benthic,Astatotilapia calliptera ,,,,,,,,
7,,21,iridophore,Benthic,Astatotilapia calliptera ,,,,,,,,
2,3,10,melanophore,Littoral,Astatotilapia calliptera ,,,,,,,,
3,4,10,melanophore,Littoral,Astatotilapia calliptera ,,,,,,,,
4,4,10,melanophore,Littoral,Astatotilapia calliptera ,,,,,,,,
5,4,10,melanophore,Littoral,Astatotilapia calliptera ,,,,,,,,
6,3,10,melanophore,Littoral,Astatotilapia calliptera ,,,,,,,,
7,3,10,melanophore,Littoral,Astatotilapia calliptera ,,,,,,,,
8,4,10,melanophore,Littoral,Astatotilapia calliptera ,,,,,,,,
1,5,12,melanophore,Littoral,Astatotilapia calliptera ,,,,,,,,
9,5,12,melanophore,Littoral,Astatotilapia calliptera ,,,,,,,,
4,6,13,xanthophore,Littoral,Astatotilapia calliptera ,,,,,,,,
2,7,15,xanthophore,Littoral,Astatotilapia calliptera ,,,,,,,,
1,8,16,xanthophore,Littoral,Astatotilapia calliptera ,,,,,,,,
5,8,15,xanthophore,Littoral,Astatotilapia calliptera ,,,,,,,,
6,8,15,xanthophore,Littoral,Astatotilapia calliptera ,,,,,,,,
7,8,17,xanthophore,Littoral,Astatotilapia calliptera ,,,,,,,,
8,8,15,xanthophore,Littoral,Astatotilapia calliptera ,,,,,,,,
9,8,17,xanthophore,Littoral,Astatotilapia calliptera ,,,,,,,,
3,9,19,xanthophore,Littoral,Astatotilapia calliptera ,,,,,,,,
2,9,,iridophore,Littoral,Astatotilapia calliptera ,,,,,,,,
3,9,,iridophore,Littoral,Astatotilapia calliptera ,,,,,,,,
4,9,,iridophore,Littoral,Astatotilapia calliptera ,,,,,,,,
5,9,,iridophore,Littoral,Astatotilapia calliptera ,,,,,,,,
6,9,,iridophore,Littoral,Astatotilapia calliptera ,,,,,,,,
